Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,A,22,0.291779,"S, Mises",quad,lin,10.0
OSSO-4,A,38,0.291779,"S, Mises",quad,lin,10.0
OSSO-4,B,52,0.121246,"S, Mises",quad,lin,10.0
OSSO-4,B,58,0.121246,"S, Mises",quad,lin,10.0
OSSO-4,C,10,0.152956,"S, Mises",quad,lin,10.0
OSSO-4,C,11,0.152956,"S, Mises",quad,lin,10.0
OSSO-4,D,4,0.296456,"S, Mises",quad,lin,10.0
OSSO-4,D,28,0.296456,"S, Mises",quad,lin,10.0
OSSO-4,A,1567,0.00258515,"U, Magnitude",tri,quad,1.0
OSSO-4,A,1696,0.00258515,"U, Magnitude",tri,quad,1.0
OSSO-4,A,1741,0.00258515,"U, Magnitude",tri,quad,1.0
OSSO-4,B,1198,0.00421776,"U, Magnitude",tri,quad,1.0
OSSO-4,B,1579,0.00421776,"U, Magnitude",tri,quad,1.0
OSSO-4,B,1865,0.00421776,"U, Magnitude",tri,quad,1.0
OSSO-4,C,250,0.00555819,"U, Magnitude",tri,quad,1.0
OSSO-4,C,1998,0.00555819,"U, Magnitude",tri,quad,1.0
OSSO-4,C,2019,0.00555819,"U, Magnitude",tri,quad,1.0
OSSO-4,D,1645,0.00120605,"U, Magnitude",tri,quad,1.0
OSSO-4,D,1708,0.00120605,"U, Magnitude",tri,quad,1.0
OSSO-4,D,1909,0.00120605,"U, Magnitude",tri,quad,1.0
OSSO-4,A,1278,0.00258626,"U, Magnitude",quad,lin,0.25
OSSO-4,A,1327,0.00258626,"U, Magnitude",quad,lin,0.25
OSSO-4,B,1119,0.00421927,"U, Magnitude",quad,lin,0.25
OSSO-4,B,20920,0.00421927,"U, Magnitude",quad,lin,0.25
OSSO-4,C,1962,0.00556006,"U, Magnitude",quad,lin,0.25
OSSO-4,C,2094,0.00556006,"U, Magnitude",quad,lin,0.25
OSSO-4,D,4512,0.00120679,"U, Magnitude",quad,lin,0.25
OSSO-4,D,21183,0.00120679,"U, Magnitude",quad,lin,0.25
OSSO-4,A,48,0.231687,"S, Mises",tri,lin,3.0
OSSO-4,A,104,0.231687,"S, Mises",tri,lin,3.0
OSSO-4,A,375,0.231687,"S, Mises",tri,lin,3.0
OSSO-4,B,113,0.158674,"S, Mises",tri,lin,3.0
OSSO-4,B,115,0.158674,"S, Mises",tri,lin,3.0
OSSO-4,B,144,0.158674,"S, Mises",tri,lin,3.0
