Part Instance,Node ID,Values,Measurement Type,Element Type,Interpolation Type,Element Size,Number of Elements,Time Taken (s)
OSSO-4,A,0.291779,"S, Mises",quad,lin,10.0,70,16.0
OSSO-4,B,0.121246,"S, Mises",quad,lin,10.0,70,16.0
OSSO-4,C,0.152956,"S, Mises",quad,lin,10.0,70,16.0
OSSO-4,D,0.296456,"S, Mises",quad,lin,10.0,70,16.0
OSSO-4,A,0.00258515,"U, Magnitude",tri,quad,1.0,6780,16.0
OSSO-4,B,0.00421776,"U, Magnitude",tri,quad,1.0,6780,16.0
OSSO-4,C,0.00555819,"U, Magnitude",tri,quad,1.0,6780,16.0
OSSO-4,D,0.00120605,"U, Magnitude",tri,quad,1.0,6780,16.0
OSSO-4,A,0.00258626,"U, Magnitude",quad,lin,0.25,64144,21.0
OSSO-4,B,0.00421927,"U, Magnitude",quad,lin,0.25,64144,21.0
OSSO-4,C,0.00556006,"U, Magnitude",quad,lin,0.25,64144,21.0
OSSO-4,D,0.00120679,"U, Magnitude",quad,lin,0.25,64144,21.0
OSSO-4,A,0.231687,"S, Mises",tri,lin,3.0,884,17.0
OSSO-4,B,0.158674,"S, Mises",tri,lin,3.0,884,17.0
OSSO-4,C,0.0986032,"S, Mises",tri,lin,3.0,884,17.0
OSSO-4,D,0.123298,"S, Mises",tri,lin,3.0,884,17.0
OSSO-4,A,0.0025798,"U, Magnitude",tri,quad,3.0,884,16.0
OSSO-4,B,0.00421003,"U, Magnitude",tri,quad,3.0,884,16.0
OSSO-4,C,0.00554762,"U, Magnitude",tri,quad,3.0,884,16.0
OSSO-4,D,0.00120241,"U, Magnitude",tri,quad,3.0,884,16.0
OSSO-4,A,0.21512,"S, Mises",quad,quad,1.0,4017,16.0
OSSO-4,B,0.178888,"S, Mises",quad,quad,1.0,4017,16.0
OSSO-4,C,0.105973,"S, Mises",quad,quad,1.0,4017,16.0
OSSO-4,D,0.0894428,"S, Mises",quad,quad,1.0,4017,16.0
OSSO-4,A,0.00238706,"U, Magnitude",tri,lin,5.0,419,16.0
OSSO-4,B,0.00390479,"U, Magnitude",tri,lin,5.0,419,16.0
OSSO-4,C,0.00508116,"U, Magnitude",tri,lin,5.0,419,16.0
OSSO-4,D,0.0010731,"U, Magnitude",tri,lin,5.0,419,16.0
OSSO-4,A,0.217807,"S, Mises",tri,lin,1.0,6780,17.0
OSSO-4,B,0.172061,"S, Mises",tri,lin,1.0,6780,17.0
OSSO-4,C,0.103918,"S, Mises",tri,lin,1.0,6780,17.0
OSSO-4,D,0.0877098,"S, Mises",tri,lin,1.0,6780,17.0
OSSO-4,A,0.00254493,"U, Magnitude",tri,quad,10.0,122,17.0
OSSO-4,B,0.0041572,"U, Magnitude",tri,quad,10.0,122,17.0
OSSO-4,C,0.00546603,"U, Magnitude",tri,quad,10.0,122,17.0
OSSO-4,D,0.00117846,"U, Magnitude",tri,quad,10.0,122,17.0
OSSO-4,A,0.0025723,"U, Magnitude",tri,lin,1.0,6780,17.0
OSSO-4,B,0.00419892,"U, Magnitude",tri,lin,1.0,6780,17.0
OSSO-4,C,0.00553283,"U, Magnitude",tri,lin,1.0,6780,17.0
OSSO-4,D,0.00119764,"U, Magnitude",tri,lin,1.0,6780,17.0
OSSO-4,A,0.216644,"S, Mises",tri,quad,5.0,419,16.0
OSSO-4,B,0.182008,"S, Mises",tri,quad,5.0,419,16.0
OSSO-4,C,0.109929,"S, Mises",tri,quad,5.0,419,16.0
OSSO-4,D,0.0957927,"S, Mises",tri,quad,5.0,419,16.0
OSSO-4,A,0.215024,"S, Mises",quad,quad,3.0,504,17.0
OSSO-4,B,0.178571,"S, Mises",quad,quad,3.0,504,17.0
OSSO-4,C,0.106985,"S, Mises",quad,quad,3.0,504,17.0
OSSO-4,D,0.089571,"S, Mises",quad,quad,3.0,504,17.0
OSSO-4,A,0.0027428,"U, Magnitude",quad,lin,10.0,70,16.0
OSSO-4,B,0.00451393,"U, Magnitude",quad,lin,10.0,70,16.0
OSSO-4,C,0.0061508,"U, Magnitude",quad,lin,10.0,70,16.0
OSSO-4,D,0.0012179,"U, Magnitude",quad,lin,10.0,70,16.0
OSSO-4,A,0.00257335,"U, Magnitude",tri,quad,5.0,419,16.0
OSSO-4,B,0.00420032,"U, Magnitude",tri,quad,5.0,419,16.0
OSSO-4,C,0.00553211,"U, Magnitude",tri,quad,5.0,419,16.0
OSSO-4,D,0.00119777,"U, Magnitude",tri,quad,5.0,419,16.0
OSSO-4,A,0.0025836,"U, Magnitude",quad,quad,2.0,1024,16.0
OSSO-4,B,0.0042153,"U, Magnitude",quad,quad,2.0,1024,16.0
OSSO-4,C,0.00555439,"U, Magnitude",quad,quad,2.0,1024,16.0
OSSO-4,D,0.00120494,"U, Magnitude",quad,quad,2.0,1024,16.0
OSSO-4,A,0.25008,"S, Mises",quad,lin,5.0,231,16.0
OSSO-4,B,0.146897,"S, Mises",quad,lin,5.0,231,16.0
OSSO-4,C,0.0917792,"S, Mises",quad,lin,5.0,231,16.0
OSSO-4,D,0.151761,"S, Mises",quad,lin,5.0,231,16.0
OSSO-4,A,0.00250024,"U, Magnitude",tri,lin,3.0,884,17.0
OSSO-4,B,0.0040874,"U, Magnitude",tri,lin,3.0,884,17.0
OSSO-4,C,0.00536895,"U, Magnitude",tri,lin,3.0,884,17.0
OSSO-4,D,0.00114957,"U, Magnitude",tri,lin,3.0,884,17.0
OSSO-4,A,0.00258284,"U, Magnitude",tri,quad,2.0,1737,17.0
OSSO-4,B,0.00421451,"U, Magnitude",tri,quad,2.0,1737,17.0
OSSO-4,C,0.00555392,"U, Magnitude",tri,quad,2.0,1737,17.0
OSSO-4,D,0.00120443,"U, Magnitude",tri,quad,2.0,1737,17.0
OSSO-4,A,0.00258612,"U, Magnitude",quad,quad,0.25,64144,28.0
OSSO-4,B,0.00421903,"U, Magnitude",quad,quad,0.25,64144,28.0
OSSO-4,C,0.00555965,"U, Magnitude",quad,quad,0.25,64144,28.0
OSSO-4,D,0.00120669,"U, Magnitude",quad,quad,0.25,64144,28.0
OSSO-4,A,0.00200621,"U, Magnitude",tri,lin,10.0,122,16.0
OSSO-4,B,0.00327231,"U, Magnitude",tri,lin,10.0,122,16.0
OSSO-4,C,0.00407499,"U, Magnitude",tri,lin,10.0,122,16.0
OSSO-4,D,0.000850855,"U, Magnitude",tri,lin,10.0,122,16.0
OSSO-4,A,0.214983,"S, Mises",tri,quad,1.0,6780,16.0
OSSO-4,B,0.179894,"S, Mises",tri,quad,1.0,6780,16.0
OSSO-4,C,0.106282,"S, Mises",tri,quad,1.0,6780,16.0
OSSO-4,D,0.091063,"S, Mises",tri,quad,1.0,6780,16.0
OSSO-4,A,0.0025771,"U, Magnitude",quad,quad,5.0,231,17.0
OSSO-4,B,0.00420568,"U, Magnitude",quad,quad,5.0,231,17.0
OSSO-4,C,0.00553911,"U, Magnitude",quad,quad,5.0,231,17.0
OSSO-4,D,0.00120014,"U, Magnitude",quad,quad,5.0,231,17.0
OSSO-4,A,0.243885,"S, Mises",tri,lin,5.0,419,16.0
OSSO-4,B,0.149577,"S, Mises",tri,lin,5.0,419,16.0
OSSO-4,C,0.0956666,"S, Mises",tri,lin,5.0,419,16.0
OSSO-4,D,0.168858,"S, Mises",tri,lin,5.0,419,16.0
OSSO-4,A,0.00258511,"U, Magnitude",tri,lin,0.25,104618,23.0
OSSO-4,B,0.00421757,"U, Magnitude",tri,lin,0.25,104618,23.0
OSSO-4,C,0.00555775,"U, Magnitude",tri,lin,0.25,104618,23.0
OSSO-4,D,0.001206,"U, Magnitude",tri,lin,0.25,104618,23.0
OSSO-4,A,0.219119,"S, Mises",quad,lin,1.0,4017,16.0
OSSO-4,B,0.170647,"S, Mises",quad,lin,1.0,4017,16.0
OSSO-4,C,0.101557,"S, Mises",quad,lin,1.0,4017,16.0
OSSO-4,D,0.0841454,"S, Mises",quad,lin,1.0,4017,16.0
OSSO-4,A,0.215003,"S, Mises",quad,quad,0.25,64144,28.0
OSSO-4,B,0.178939,"S, Mises",quad,quad,0.25,64144,28.0
OSSO-4,C,0.105825,"S, Mises",quad,quad,0.25,64144,28.0
OSSO-4,D,0.0894114,"S, Mises",quad,quad,0.25,64144,28.0
OSSO-4,A,0.291923,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,B,0.137609,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,C,0.0804607,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,D,0.321668,"S, Mises",tri,lin,10.0,122,16.0
OSSO-4,A,0.00258119,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,B,0.00421167,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,C,0.00554891,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,D,0.00120321,"U, Magnitude",quad,quad,3.0,504,17.0
OSSO-4,A,0.224095,"S, Mises",quad,lin,3.0,504,16.0
